"NAME","Age_Range","Total","year"
"District of Columbia","25.to.34.years",14213,2006
"District of Columbia","35.to.44.years",22814,2006
"District of Columbia","45.to.54.years",22503,2006
"District of Columbia","55.to.59.years",12737,2006
"District of Columbia","60.to.64.years",10776,2006
"District of Columbia","65.to.74.years",15792,2006
"District of Columbia","75.to.84.years",11414,2006
"District of Columbia","85.years.and.over",3648,2006
"Florida","total",4994101,2006
"Florida","15.to.24.years",60863,2006
"Florida","25.to.34.years",477875,2006
"Florida","35.to.44.years",905500,2006
"Florida","45.to.54.years",1044322,2006
"Florida","55.to.59.years",510927,2006
"Florida","60.to.64.years",450099,2006
"Florida","65.to.74.years",740634,2006
"Florida","75.to.84.years",622479,2006
"Florida","85.years.and.over",181402,2006
"Georgia","total",2285179,2006
"Georgia","15.to.24.years",28951,2006
"Georgia","25.to.34.years",295296,2006
"Georgia","35.to.44.years",527208,2006
"Georgia","45.to.54.years",547779,2006
"Georgia","55.to.59.years",243145,2006
"Georgia","60.to.64.years",191574,2006
"Georgia","65.to.74.years",257841,2006
"Georgia","75.to.84.years",152478,2006
"Georgia","85.years.and.over",40907,2006
"Hawaii","total",257599,2006
"Hawaii","15.to.24.years",2228,2006
"Hawaii","25.to.34.years",19764,2006
"Hawaii","35.to.44.years",41840,2006
"Hawaii","45.to.54.years",59871,2006
"Hawaii","55.to.59.years",30137,2006
"Hawaii","60.to.64.years",25498,2006
"Hawaii","65.to.74.years",36236,2006
"Hawaii","75.to.84.years",32040,2006
"Hawaii","85.years.and.over",9985,2006
"Idaho","total",390982,2006
"Idaho","15.to.24.years",9075,2006
"Idaho","25.to.34.years",53764,2006
"Idaho","35.to.44.years",73572,2006
"Idaho","45.to.54.years",90804,2006
"Idaho","55.to.59.years",42453,2006
"Idaho","60.to.64.years",32971,2006
"Idaho","65.to.74.years",47862,2006
"Idaho","75.to.84.years",30856,2006
"Idaho","85.years.and.over",9625,2006
"Illinois","total",3301367,2006
"Illinois","15.to.24.years",42012,2006
"Illinois","25.to.34.years",413204,2006
"Illinois","35.to.44.years",699802,2006
"Illinois","45.to.54.years",786142,2006
"Illinois","55.to.59.years",347865,2006
"Illinois","60.to.64.years",258517,2006
"Illinois","65.to.74.years",380522,2006
"Illinois","75.to.84.years",281655,2006
"Illinois","85.years.and.over",91648,2006
"Indiana","total",1756328,2006
"Indiana","15.to.24.years",29489,2006
"Indiana","25.to.34.years",229511,2006
"Indiana","35.to.44.years",352966,2006
"Indiana","45.to.54.years",415123,2006
"Indiana","55.to.59.years",186339,2006
"Indiana","60.to.64.years",138867,2006
"Indiana","65.to.74.years",211803,2006
"Indiana","75.to.84.years",149072,2006
"Indiana","85.years.and.over",43158,2006
