"NAME","Age_Range","Total","year"
"Arkansas","45.to.54.years",56535,2006
"Arkansas","55.to.59.years",20196,2006
"Arkansas","60.to.64.years",14429,2006
"Arkansas","65.to.74.years",19731,2006
"Arkansas","75.to.84.years",16171,2006
"Arkansas","85.years.and.over",8035,2006
"California","total",5049030,2006
"California","15.to.24.years",468873,2006
"California","25.to.34.years",1353254,2006
"California","35.to.44.years",1221209,2006
"California","45.to.54.years",919768,2006
"California","55.to.59.years",306739,2006
"California","60.to.64.years",207653,2006
"California","65.to.74.years",275014,2006
"California","75.to.84.years",206227,2006
"California","85.years.and.over",90293,2006
"Colorado","total",577567,2006
"Colorado","15.to.24.years",90824,2006
"Colorado","25.to.34.years",169684,2006
"Colorado","35.to.44.years",114950,2006
"Colorado","45.to.54.years",91818,2006
"Colorado","55.to.59.years",32834,2006
"Colorado","60.to.64.years",19285,2006
"Colorado","65.to.74.years",26459,2006
"Colorado","75.to.84.years",19760,2006
"Colorado","85.years.and.over",11953,2006
"Connecticut","total",404061,2006
"Connecticut","15.to.24.years",34028,2006
"Connecticut","25.to.34.years",97983,2006
"Connecticut","35.to.44.years",87915,2006
"Connecticut","45.to.54.years",70788,2006
"Connecticut","55.to.59.years",24439,2006
"Connecticut","60.to.64.years",19229,2006
"Connecticut","65.to.74.years",29504,2006
"Connecticut","75.to.84.years",26304,2006
"Connecticut","85.years.and.over",13871,2006
"Delaware","total",81916,2006
"Delaware","15.to.24.years",9094,2006
"Delaware","25.to.34.years",24185,2006
"Delaware","35.to.44.years",18601,2006
"Delaware","45.to.54.years",11695,2006
"Delaware","55.to.59.years",4834,2006
"Delaware","60.to.64.years",3551,2006
"Delaware","65.to.74.years",4050,2006
"Delaware","75.to.84.years",4063,2006
"Delaware","85.years.and.over",1843,2006
"District of Columbia","total",135870,2006
"District of Columbia","15.to.24.years",13563,2006
"District of Columbia","25.to.34.years",38564,2006
"District of Columbia","35.to.44.years",25679,2006
"District of Columbia","45.to.54.years",22797,2006
"District of Columbia","55.to.59.years",9880,2006
"District of Columbia","60.to.64.years",6499,2006
"District of Columbia","65.to.74.years",9670,2006
"District of Columbia","75.to.84.years",6941,2006
"District of Columbia","85.years.and.over",2277,2006
"Florida","total",2111941,2006
"Florida","15.to.24.years",261613,2006
"Florida","25.to.34.years",534018,2006
"Florida","35.to.44.years",455487,2006
"Florida","45.to.54.years",356722,2006
"Florida","55.to.59.years",122717,2006
"Florida","60.to.64.years",85828,2006
"Florida","65.to.74.years",124663,2006
"Florida","75.to.84.years",110463,2006
"Florida","85.years.and.over",60430,2006
"Georgia","total",1091584,2006
"Georgia","15.to.24.years",137987,2006
"Georgia","25.to.34.years",323427,2006
"Georgia","35.to.44.years",253360,2006
"Georgia","45.to.54.years",177211,2006
"Georgia","55.to.59.years",61299,2006
"Georgia","60.to.64.years",39352,2006
"Georgia","65.to.74.years",51118,2006
"Georgia","75.to.84.years",33059,2006
"Georgia","85.years.and.over",14771,2006
"Hawaii","total",175033,2006
"Hawaii","15.to.24.years",16701,2006
"Hawaii","25.to.34.years",41626,2006
"Hawaii","35.to.44.years",39707,2006
"Hawaii","45.to.54.years",34746,2006
"Hawaii","55.to.59.years",11581,2006
"Hawaii","60.to.64.years",8885,2006
"Hawaii","65.to.74.years",11217,2006
"Hawaii","75.to.84.years",7931,2006
"Hawaii","85.years.and.over",2639,2006
"Idaho","total",157573,2006
"Idaho","15.to.24.years",32909,2006
"Idaho","25.to.34.years",44851,2006
"Idaho","35.to.44.years",27588,2006
"Idaho","45.to.54.years",21331,2006
"Idaho","55.to.59.years",9547,2006
"Idaho","60.to.64.years",5370,2006
"Idaho","65.to.74.years",7813,2006
"Idaho","75.to.84.years",5459,2006
"Idaho","85.years.and.over",2705,2006
"Illinois","total",1422885,2006
"Illinois","15.to.24.years",166468,2006
"Illinois","25.to.34.years",392489,2006
"Illinois","35.to.44.years",294150,2006
"Illinois","45.to.54.years",236636,2006
"Illinois","55.to.59.years",85980,2006
"Illinois","60.to.64.years",57415,2006
"Illinois","65.to.74.years",86845,2006
"Illinois","75.to.84.years",66190,2006
"Illinois","85.years.and.over",36712,2006
"Indiana","total",678946,2006
"Indiana","15.to.24.years",99639,2006
"Indiana","25.to.34.years",181501,2006
"Indiana","35.to.44.years",133345,2006
"Indiana","45.to.54.years",112758,2006
"Indiana","55.to.59.years",35886,2006
"Indiana","60.to.64.years",28852,2006
"Indiana","65.to.74.years",35524,2006
"Indiana","75.to.84.years",31631,2006
"Indiana","85.years.and.over",19810,2006
"Iowa","total",322796,2006
"Iowa","15.to.24.years",65507,2006
"Iowa","25.to.34.years",75222,2006
"Iowa","35.to.44.years",55797,2006
"Iowa","45.to.54.years",47929,2006
"Iowa","55.to.59.years",15847,2006
"Iowa","60.to.64.years",11154,2006
"Iowa","65.to.74.years",15868,2006
"Iowa","75.to.84.years",21284,2006
"Iowa","85.years.and.over",14188,2006
"Kansas","total",327266,2006
"Kansas","15.to.24.years",63658,2006
"Kansas","25.to.34.years",83363,2006
"Kansas","35.to.44.years",65177,2006
"Kansas","45.to.54.years",46389,2006
"Kansas","55.to.59.years",15999,2006
"Kansas","60.to.64.years",10971,2006
"Kansas","65.to.74.years",15835,2006
"Kansas","75.to.84.years",15983,2006
"Kansas","85.years.and.over",9891,2006
"Kentucky","total",484830,2006
"Kentucky","15.to.24.years",62366,2006
"Kentucky","25.to.34.years",130578,2006
"Kentucky","35.to.44.years",100797,2006
"Kentucky","45.to.54.years",76375,2006
"Kentucky","55.to.59.years",33410,2006
"Kentucky","60.to.64.years",21455,2006
"Kentucky","65.to.74.years",29671,2006
"Kentucky","75.to.84.years",20979,2006
"Kentucky","85.years.and.over",9199,2006
