"GEOID","NAME","year","med_incomeE","med_rentE","region_group","region_name","rent_to_income_ratio"
2,"Alaska",2011,67825,1049,10,"Pacific Northwest",0.186
4,"Arizona",2011,46709,850,9,"Pacific Southwest",0.218
5,"Arkansas",2011,38758,639,6,"South Central",0.198
6,"California",2011,57287,1174,9,"Pacific Southwest",0.246
8,"Colorado",2011,55387,900,8,"Mountain North",0.195
9,"Connecticut",2011,65753,1021,1,"New England",0.186
10,"Delaware",2011,58814,960,3,"Mid-Atlantic",0.196
11,"District of Columbia",2011,63124,1216,3,"Mid-Atlantic",0.231
12,"Florida",2011,44299,949,4,"Southeast",0.257
13,"Georgia",2011,46007,833,4,"Southeast",0.217
15,"Hawaii",2011,61821,1308,9,"Pacific Southwest",0.254
16,"Idaho",2011,43341,689,10,"Pacific Northwest",0.191
17,"Illinois",2011,53234,859,5,"Great Lakes",0.194
18,"Indiana",2011,46438,707,5,"Great Lakes",0.183
19,"Iowa",2011,49427,643,7,"Central Plains",0.156
20,"Kansas",2011,48964,709,7,"Central Plains",0.174
21,"Kentucky",2011,41141,626,4,"Southeast",0.183
22,"Louisiana",2011,41734,747,6,"South Central",0.215
23,"Maine",2011,46033,747,1,"New England",0.195
24,"Maryland",2011,70004,1153,3,"Mid-Atlantic",0.198
25,"Massachusetts",2011,62859,1034,1,"New England",0.197
26,"Michigan",2011,45981,739,5,"Great Lakes",0.193
27,"Minnesota",2011,56954,787,5,"Great Lakes",0.166
28,"Mississippi",2011,36919,689,4,"Southeast",0.224
29,"Missouri",2011,45247,708,7,"Central Plains",0.188
30,"Montana",2011,44222,650,8,"Mountain North",0.176
31,"Nebraska",2011,50296,673,7,"Central Plains",0.161
32,"Nevada",2011,48927,936,9,"Pacific Southwest",0.23
33,"New Hampshire",2011,62647,939,1,"New England",0.18
34,"New Jersey",2011,67458,1135,2,"New York–New Jersey",0.202
35,"New Mexico",2011,41963,729,6,"South Central",0.208
36,"New York",2011,55246,1058,2,"New York–New Jersey",0.23
37,"North Carolina",2011,43916,745,4,"Southeast",0.204
38,"North Dakota",2011,51704,626,8,"Mountain North",0.145
39,"Ohio",2011,45749,692,5,"Great Lakes",0.182
40,"Oklahoma",2011,43225,675,6,"South Central",0.187
41,"Oregon",2011,46816,840,10,"Pacific Northwest",0.215
42,"Pennsylvania",2011,50228,786,3,"Mid-Atlantic",0.188
44,"Rhode Island",2011,53636,875,1,"New England",0.196
45,"South Carolina",2011,42367,741,4,"Southeast",0.21
46,"South Dakota",2011,48321,612,8,"Mountain North",0.152
47,"Tennessee",2011,41693,715,4,"Southeast",0.206
48,"Texas",2011,49392,813,6,"South Central",0.198
49,"Utah",2011,55869,822,8,"Mountain North",0.177
50,"Vermont",2011,52776,849,1,"New England",0.193
51,"Virginia",2011,61882,1062,3,"Mid-Atlantic",0.206
53,"Washington",2011,56835,930,10,"Pacific Northwest",0.196
54,"West Virginia",2011,38482,599,3,"Mid-Atlantic",0.187
55,"Wisconsin",2011,50395,739,5,"Great Lakes",0.176
56,"Wyoming",2011,56322,759,8,"Mountain North",0.162
